ID,Código,Documento,Departamento,Ruta SG chat,Formato,Revisión anterior,Revisión nueva propuesta,Fecha actualización,Estado,Cambio realizado,Responsable,Aprobador,SHA-256
11,PO-59,PO-59_Cocinado_CKD_Fiat_E.doc,CKD FIAT,CKD FIAT/En vigor/PO-59_Cocinado_CKD_Fiat_E.doc,doc,E,F,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4ab3d65ecad0b0bd3db6b778f6c3e01b8892c99e509bc741db1e3e4d6a8f52be
12,PO-60,PO-60_Despacho_de_pedidos_especiales_CKD_Fiat_D.doc,CKD FIAT,CKD FIAT/En vigor/PO-60_Despacho_de_pedidos_especiales_CKD_Fiat_D.doc,doc,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,b654656880f2160fee15b41b68b78a73bfa59500b5161a3a1580c52f3f926ee9
13,PO-61.1,PO-61.1_Calculo_del_programa_de_piezas_CKD_A(2).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-61.1_Calculo_del_programa_de_piezas_CKD_A(2).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f387de754bf25d8aaf59177db18916e7897e2a7cddb3121f77af0256662555c4
14,PO-61.2,PO-61.2_Estructura_del_personal_A(1).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-61.2_Estructura_del_personal_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,9ef382daa688e3ac4bcce183a30dd699c4abcaada28f09c1075f9924a9890d8b
15,PO-61.3,PO-61.3_Programa_de_entregas_semanal_CKD_A(1).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-61.3_Programa_de_entregas_semanal_CKD_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,da146dc7c9c4f2c5a9a9734f739af0ce1832d231178c5118dc961b93c6034a86
16,PO-61.4,PO-61.4_Programa_de_entregas_mensual_CKD_A(1).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-61.4_Programa_de_entregas_mensual_CKD_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ee510382e770e4e2a600b68964814885ede666b1b1d85890043c87350974d2b9
17,PO-61,PO-61_Planificacion_y_control_de_la_produccion_CKD_Fiat_E.doc,CKD FIAT,CKD FIAT/En vigor/PO-61_Planificacion_y_control_de_la_produccion_CKD_Fiat_E.doc,doc,E,F,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,35d5e0884ae9bf6af7f0dc4d8736b11189cd7b0232e7a12c1416496888916473
18,PO-62.1,PO-62.1_Plan_de_Control_recepcion_A(2).xls,CKD FIAT,CKD FIAT/En vigor/PO-62.1_Plan_de_Control_recepcion_A(2).xls,xls,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f1b881b7126985ff6b741e206a6dc13fe7f68a3cb99a8be87ec05ba428f3aac6
19,PO-62.2,PO-62.2_Control_madera_A(2).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-62.2_Control_madera_A(2).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7bd29eaf967c0919ee91cf707ad9a48c9c5771a0c727b69a8617194295e17a92
20,PO-62.3,PO-62.3_Recepcion_de_materiales_criticos_A(2).xls,CKD FIAT,CKD FIAT/En vigor/PO-62.3_Recepcion_de_materiales_criticos_A(2).xls,xls,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,204babb63ee7d7b56bd7957a66d37237eed70fda26de54ff1949bfc8e490a257
21,PO-62,PO-62_Recepcion_de_materiales_CKD_Fiat_E.doc,CKD FIAT,CKD FIAT/En vigor/PO-62_Recepcion_de_materiales_CKD_Fiat_E.doc,doc,E,F,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,228c4140ea97a7ae21a7b8100b72c0d83f2bf8b3ab2cfedcf8eab5dd84e35523
22,PO-63.1,PO-63.1_Hoja_de_proceso_Pzs_chicas_A(2).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-63.1_Hoja_de_proceso_Pzs_chicas_A(2).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,aaa1d13f0e293cd01bcb002b06f50b5f2763dfdcb0b37e74f443a0777dc47323
23,PO-63.2,PO-63.2_Hoja_de_proceso_Pzs_Grandes_A(2).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-63.2_Hoja_de_proceso_Pzs_Grandes_A(2).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,d7d8c22867cdd8279b803bd7f8400261628408cfce5225f70e6d87c09a8675b7
24,PO-63.3,PO-63.3_Hoja_de_proceso_Pzs_Venezuela_A(1).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-63.3_Hoja_de_proceso_Pzs_Venezuela_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f524dbb0dcfbb43b99aff36808f8c495d77ff17cfef64682a926242d70b476ea
25,PO-63.4,PO-63.4_Hoja_de_proceso_Cajas_Fiat_A(2).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-63.4_Hoja_de_proceso_Cajas_Fiat_A(2).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,619ef0ec350c7bf22ba679de9719ef6342df28c0852399978fd71adbf947290d
26,PO-63.5,PO-63.5_Hoja_de_Proceso_Cajas_PSA_A(2).xls,CKD FIAT,CKD FIAT/En vigor/PO-63.5_Hoja_de_Proceso_Cajas_PSA_A(2).xls,xls,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ed5892d221dd756f41fabf8e6e1ab1f7a904b627f4b95ce3206d3d7cb9c2d890
27,PO-63,PO-63_Armado_de_embalajes_CKD_Fiat_F.docx,CKD FIAT,CKD FIAT/En vigor/PO-63_Armado_de_embalajes_CKD_Fiat_F.docx,docx,F,G,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,d035acab3c0f9c089b01eb78114ac4452f588522ea02fd8acb5d2a7e02be2b22
28,PO-64.1,PO-64.1_Tarjeta_de_descuentos_A(2).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-64.1_Tarjeta_de_descuentos_A(2).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c43df43f753740d322f186db0ba33c524441764482f3d7759e206633464fcce3
29,PO-64.2,PO-64.2_Material_en_proceso_A(1).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-64.2_Material_en_proceso_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4b59d7cd5991bb984cd39694ad5470194eeb9c8137ea4e3ba71864ab0e065ce7
30,PO-64.3,PO-64.3_Rotulo_provisorio_piezas_chicas_A(1).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-64.3_Rotulo_provisorio_piezas_chicas_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c90ed99b078421302b2b806e30c2e22a9eba82184a042d546d2da99115711bd1
31,PO-64.4,PO-64.4_Rotulo_provisorio_piezas_grandes_A(2).xls,CKD FIAT,CKD FIAT/En vigor/PO-64.4_Rotulo_provisorio_piezas_grandes_A(2).xls,xls,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,b182996da907cc0b38db1ca7ea14a9c7b95e0a39f41ce570635c8c1c09fd7edb
32,PO-64,PO-64_Identificacion_CKD_D.docx,CKD FIAT,CKD FIAT/En vigor/PO-64_Identificacion_CKD_D.docx,docx,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f67206ce6fa35d1dc3eda5b5fc3dd0ff54ff0579fcc87aeb48848c61e4f08fcc
33,PO-90.1,PO-90.1_Control_de_Carga_Expedición_Única(3).xlsx,CKD FIAT,CKD FIAT/En vigor/PO-90.1_Control_de_Carga_Expedición_Única(3).xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,08cc06784f91973ea67fb62bdfc6f4689cacf24811b54e5d15aa56a56950f38b
34,FG-03,FG-03 Plan de accion 2025.xls,Calidad,Calidad/Auditorias internas 2025/FG-03 Plan de accion 2025.xls,xls,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ede571b2bcf0d880c9c316003cc818341d8db5083bb5d1b8322e90af06c12e61
35,FO-03,FO-03-A._Analisis_riesgo RUEDAS almacen.xlsx,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo RUEDAS almacen.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7c0778b58d0343c56a896745440b286a7bb0896c8de43e4ec0718a016a3664fa
36,FO-03,FO-03-A._Analisis_riesgo RUEDAS recepcionn.xlsx,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo RUEDAS recepcionn.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,92ae2a0467eee9d34d0c8db81742f9ad398def2099144ec350fbf72f7674036f
37,FO-03,FO-03-A._Analisis_riesgo_CKDFIAT.xlsx,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo_CKDFIAT.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,03dfa54128ae1a9312bd3c35a4e1dd8fb9ea5469b983e0be2b7002c4aa3a6dc9
38,FO-03,FO-03-A._Analisis_riesgo_Paragolpes.xlsx,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo_Paragolpes.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,40bc52e1af07fd07a9bbb87ba889397854e872c6ae2403a6d8d93dedfa5a4329
39,FO-03,FO-03-A._Analisis_riesgo_Trafico(1).xlsx,Calidad,Calidad/Riesgos/FO-03-A._Analisis_riesgo_Trafico(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,8f2ea3d0112dc1b6d1a0312636e6dc3377dd82b7cd2db4b4b57d99f5686f61d7
40,FO-03,FO-03-C-_Analisis_riesgo_Calidad.xlsx,Calidad,Calidad/Riesgos/FO-03-C-_Analisis_riesgo_Calidad.xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,cec198461b72e34b87834a87c538ed0c265fca182c33e73b44f0ab8b9a6d9baf
41,FO-03,FO-03-C-_Analisis_riesgo_RRHH(1).xlsx,Calidad,Calidad/Riesgos/FO-03-C-_Analisis_riesgo_RRHH(1).xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4b2e54e672fb95ecebfea6fa62a7528420083811b3e2ad8146ca2a7aada986ae
42,FO-03,FO-03-C-_Analisis_riesgo_Ventas.xlsx,Calidad,Calidad/Riesgos/FO-03-C-_Analisis_riesgo_Ventas.xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,dacab2debcf36063f473b5332b8abc0948b023313b18544ff471d117657c4550
43,ICO-P,ICO-P-SG-03_Revision_de_contrato K.doc,Comercial,Comercial/En Vigor/ICO-P-SG-03_Revision_de_contrato K.doc,doc,K,L,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,fd28513267cc8bc62f2b0afef61cd52444d1deacb23caa9c8000fa1a91a23c09
44,MP-VT-01,MP-VT-01_Mapa_de_procesos(1).xlsx,Comercial,Comercial/En Vigor/MP-VT-01_Mapa_de_procesos(1).xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,806151523f1cd5f34a8b07d1662640d997a65b9f7d70b505c65989b4fdd27d01
45,MODELO,Modelo_Project_Approval_v13.xlsx,Comercial,Comercial/En Vigor/Modelo_Project_Approval_v13.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,a6a22beb1aed161cd9689c169ba023916bd879ba25c7047c4345c03baaa1e114
46,P-SG-03,P-SG-03.1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D.xlsx,Comercial,Comercial/En Vigor/P-SG-03.1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D.xlsx,xlsx,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,57b4d9f62a10dc372acc563a7172b87c5e29da86b98f74712850a2a1aad4667e
47,P-SG-03,P-SG-03.2_Propuesta_Comercial_B.docx,Comercial,Comercial/En Vigor/P-SG-03.2_Propuesta_Comercial_B.docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,24e8c16d0d19ef885dc2d05346d7f5b209908ee60b030186cad710368e19ff1d
48,A-ICO-001,A-ICO-001.1_Lineamientos_generales_de_compras_productivas_H.doc,Compras DADA,Compras DADA/En Vigor/A-ICO-001.1_Lineamientos_generales_de_compras_productivas_H.doc,doc,H,I,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,b94802a0ddfd4ec7ab3cffac3f74d5ae1e583a4df7f8ec5f82b1762c63aab38e
49,A-ICO-003,A-ICO-003._Evaluacion_de_proveedor_Criticos_B_(2).xls,Compras DADA,Compras DADA/En Vigor/A-ICO-003._Evaluacion_de_proveedor_Criticos_B_(2).xls,xls,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ce82f69faacdd4ee2548b01d7bf9471a45e48cb942045cae7a6fef1afe051a8c
50,A-ICO-008,A-ICO-008._Evaluación_de_proveedores_A.xls,Compras DADA,Compras DADA/En Vigor/A-ICO-008._Evaluación_de_proveedores_A.xls,xls,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,60039d51f0b2409d559271db58e43340abc8f4c1fdd7e629b0debe1d7cf07c1c
51,ICA-010,ICA-010_D_Proceso_de_Sel.doc,Compras DADA,Compras DADA/En Vigor/ICA-010_D_Proceso_de_Sel.doc,doc,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,6ab48427217080434646b9d5ce12134e631d7f6d6e30ea699cda018584718f63
52,ICO-001,ICO-001_Compras_F(1).doc,Compras DADA,Compras DADA/En Vigor/ICO-001_Compras_F(1).doc,doc,F,G,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,3ed117eff6d37f9737e58ce0d1f4da540192c05d550be847eeb241d03a57d413
53,ICO-002,ICO-002_C_Ingreso_al_panel_y_seleccion_de_proveedores.doc,Compras DADA,Compras DADA/En Vigor/ICO-002_C_Ingreso_al_panel_y_seleccion_de_proveedores.doc,doc,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0334d2cc8c70ca4aeeb7da34b0518b377a37453e2c6da3bb9904e17a64bddc71
54,ICO-003,ICO-003_Confeccion_de_la_nota_de_pedido_B.doc,Compras DADA,Compras DADA/En Vigor/ICO-003_Confeccion_de_la_nota_de_pedido_B.doc,doc,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,13438ef7f2b607ced443e9eb867bd980c1bb9e4b710119938da3fe894dcf7642
55,ICO-005,ICO-005_G_Compras_no_productivas.doc,Compras DADA,Compras DADA/En Vigor/ICO-005_G_Compras_no_productivas.doc,doc,G,H,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,2cecc72181f85ad5a9a7f9019d2284ab1b781ff27e8fd2a5d74dfd3d0e9e9f18
56,MP-CO-01,MP-CO-01_Mapa_de_procesos.xlsx,Compras DADA,Compras DADA/En Vigor/MP-CO-01_Mapa_de_procesos.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,28d911fa454da1c138ec82dc01f8514a9a1af8b4d8604cb0ec402900f6530480
57,FG-18,FG-18.G_Maestro_de_Documentos_1).xlsx,(raíz),FG-18.G_Maestro_de_Documentos_1).xlsx,xlsx,G,H,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,5c8f84c3de035c4bee9b3543094c8275eb1b9ca1b19a1c98dc2d71ed385df95c
58,FG-18,FG-18_Maestro_Documentos_Actualizados_SG_chat.xlsx,(raíz),FG-18_Maestro_Documentos_Actualizados_SG_chat.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,12d6381a9e260ea74e1ab4690a5b145fee7cd6d9e1a3e8971713cb93bf61c764
59,COPIA,Copia de DC-FI 331 Tratamiento de OB y NC Rev 03_1_.xlsx,General,General/Copia de DC-FI 331 Tratamiento de OB y NC Rev 03_1_.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4710419e57b0f71e9a65305b48277684ea16592a4ccbb0a916022acb927f4b11
60,RD-001,RD-001_A_Revision_por_la_Dirección.docx,General,General/Direccion/RD-001_A_Revision_por_la_Dirección.docx,docx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,eea39f528dce65d162e2390e5b7e0cd1c4f6e668579b67f098bdb8b49a92dbb7
61,RD-001,RD-001_B_Revision_por_la_Dirección(1).docx,General,General/Direccion/RD-001_B_Revision_por_la_Dirección(1).docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,87694e23d42e87bd99995aa343dd845570a63ce653e3b6bdf3390a3c976ed1cd
62,RD-001,RD-001_B_Revision_por_la_Dirección(3).docx,General,General/Direccion/RD-001_B_Revision_por_la_Dirección(3).docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,13b3efeee03420d5a4a8726fd0c01534c23009c577a577a5f5b2d23eb60a13c0
