ID,Código,Título / archivo,Tipo,Departamento / proceso,Ruta relativa,Revisión actual,Revisión objetivo,Estado documental,Aplicabilidad,Cláusulas relacionadas,Responsable,Aprobador,Fecha última revisión,Próxima revisión,Retención,Medio,Observaciones,SHA-256
11,PO-58.5,PO-58.5_Carátula_Packing_de_Carga_C (1).docx,Documento Word,CKD FIAT,CKD FIAT/En vigor/PO-58.5_Carátula_Packing_de_Carga_C (1).docx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,4bb6ca04a56ebfb0a6d7fa2ccd9c95dec0906c129e4f8ff2625abfc4a895eec5
12,PO-58.6,PO-58.6_Packing_List_Manual_C(2) (1).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-58.6_Packing_List_Manual_C(2) (1).xls,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,83f0e4c550aa1ff574d90633d6e462777d7c84a3e286ba280af18a727822ffa0
13,PO-58,PO-58_Armado_de_carga_y_data_entry_CKD_Fiat_E (1).pdf,PDF / evidencia,CKD FIAT,CKD FIAT/En vigor/PO-58_Armado_de_carga_y_data_entry_CKD_Fiat_E (1).pdf,Y,Z,Registro/evidencia — conservar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e099602b618e60307aba00a1fc25017ba17e7e4f575542f1085aafb5c3316881
14,PO-59.1,PO-59.1_Planilla_de_pre-cocinado_A(2).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-59.1_Planilla_de_pre-cocinado_A(2).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f83d65374541e75044466738d53aaa17995374ddae91167013ee4d4750d685a9
15,PO-59.2,PO-59.2_Planilla_de_producción_pzs_chicas(2).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-59.2_Planilla_de_producción_pzs_chicas(2).xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,07657df4d7ed42c945cc1f608cc5513af0d6cd805e7a784decd8f83d3964776a
16,PO-59,PO-59_Cocinado_CKD_Fiat_E.doc,Documento Word legado,CKD FIAT,CKD FIAT/En vigor/PO-59_Cocinado_CKD_Fiat_E.doc,E,F,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,71b106062c75df426e4fae124ac7a93b6511534db7478c5c19bc48a900e5ad5d
17,PO-60,PO-60_Despacho_de_pedidos_especiales_CKD_Fiat_D.doc,Documento Word legado,CKD FIAT,CKD FIAT/En vigor/PO-60_Despacho_de_pedidos_especiales_CKD_Fiat_D.doc,D,E,Vigente — validar contenido y aprobar,Sistema KIMI,8.5.4; 8.6 / IATF 8.5.4.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ef38e523e91116f3c7e02ede2b34375773cd103ed54e2f84e0ce4782a2d47f68
18,PO-61.1,PO-61.1_Calculo_del_programa_de_piezas_CKD_A(2).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-61.1_Calculo_del_programa_de_piezas_CKD_A(2).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3181c0493387c21a394b0d7bbe3c9cb07645884a399af24e991cbfd805a34603
19,PO-61.2,PO-61.2_Estructura_del_personal_A(1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-61.2_Estructura_del_personal_A(1).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3f157203cb1b2c3c4a223a5d92ea7de26ea23137dae7cdf69c2ae9f0c292d8e6
20,PO-61.3,PO-61.3_Programa_de_entregas_semanal_CKD_A(1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-61.3_Programa_de_entregas_semanal_CKD_A(1).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9694a33ba24febd07ac44a048cfa0a7a27f6e4d55220501b411ea1866dc0e2b9
21,PO-61.4,PO-61.4_Programa_de_entregas_mensual_CKD_A(1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-61.4_Programa_de_entregas_mensual_CKD_A(1).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1b84c882404719fd2956e9b051cdc9178c8954c35f6001a14fe163e4772c1a84
22,PO-61,PO-61_Planificacion_y_control_de_la_produccion_CKD_Fiat_E.doc,Documento Word legado,CKD FIAT,CKD FIAT/En vigor/PO-61_Planificacion_y_control_de_la_produccion_CKD_Fiat_E.doc,Y,Z,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,99468643e8e0d5ee3c4eddba92751988c01d3123e54cfaf8d7caea60df38fded
23,PO-62.1,PO-62.1_Plan_de_Control_recepcion_A(2).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-62.1_Plan_de_Control_recepcion_A(2).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,05abd040f7a1f96331b9b1fda80c098531cb3aa7bb24e36cc090ef4937880373
24,PO-62.2,PO-62.2_Control_madera_A(2).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-62.2_Control_madera_A(2).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,829604adfeaf84fc3310d41e3d6e5f703299c0aad8e035b6cff19ea4f5f79add
25,PO-62.3,PO-62.3_Recepcion_de_materiales_criticos_A(2).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-62.3_Recepcion_de_materiales_criticos_A(2).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,695f08ba5dfe39678309c69eb1525be0f6da9e534ae245262a89a4856a20d4f6
26,PO-62,PO-62_Recepcion_de_materiales_CKD_Fiat_E.doc,Documento Word legado,CKD FIAT,CKD FIAT/En vigor/PO-62_Recepcion_de_materiales_CKD_Fiat_E.doc,E,F,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,013005cb76c87588b2c1be3876cfa7dd52d4dbb1e014b3ff33084c81ba03c82d
27,PO-63.1,PO-63.1_Hoja_de_proceso_Pzs_chicas_A(2).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-63.1_Hoja_de_proceso_Pzs_chicas_A(2).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,a0016c6079574dc7b0daf0563350f2365e23f640b7fd7a57b4b6984c543207ec
28,PO-63.2,PO-63.2_Hoja_de_proceso_Pzs_Grandes_A(2).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-63.2_Hoja_de_proceso_Pzs_Grandes_A(2).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,54b2d1b62ce7ad07f487fef57d97aaf31963e8866cc1ada53d40cfc1e7f26a67
29,PO-63.3,PO-63.3_Hoja_de_proceso_Pzs_Venezuela_A(1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-63.3_Hoja_de_proceso_Pzs_Venezuela_A(1).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,db089c870aa8afbc191af97bfab25c4a6db5ea780066d03dcf922b7743b0638f
30,PO-63.4,PO-63.4_Hoja_de_proceso_Cajas_Fiat_A(2).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-63.4_Hoja_de_proceso_Cajas_Fiat_A(2).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,7559023ec3ee448b2c71cec4b2a656dd1cba507d0b270551bcf3eac1ae0b1af8
31,PO-63.5,PO-63.5_Hoja_de_Proceso_Cajas_PSA_A(2).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-63.5_Hoja_de_Proceso_Cajas_PSA_A(2).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,95d3fd82d5ce423fd5f163b4d1714521e1e3f226865efeeffb2f454cb5615268
32,PO-63.6,PO-63.6_Registro_control_de_produccion_A(2).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-63.6_Registro_control_de_produccion_A(2).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,02b7872075c5e97c5afbfb3adf718e50118f6ace99c258e45900c5369a61d8d1
33,PO-63,PO-63_Armado_de_embalajes_CKD_Fiat_F.docx,Documento Word,CKD FIAT,CKD FIAT/En vigor/PO-63_Armado_de_embalajes_CKD_Fiat_F.docx,F,G,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9e0ef8ee744b75eef37cc7f130db995f6660976e053ec575048eacb334c6a9ad
34,PO-64.1,PO-64.1_Tarjeta_de_descuentos_A(2).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-64.1_Tarjeta_de_descuentos_A(2).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b09b0ae70d05b33bbe9c21da53d7db53c970666888ceebe87fbde76d6cdccc49
35,PO-64.2,PO-64.2_Material_en_proceso_A(1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-64.2_Material_en_proceso_A(1).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,0f4df11cf7de04b02946ae00677897bfd9c91c30d5ffa94dde93292782616b34
36,PO-64.3,PO-64.3_Rotulo_provisorio_piezas_chicas_A(1).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-64.3_Rotulo_provisorio_piezas_chicas_A(1).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,34bcf96483a92ae39dc54deefc85bae514e06cb32b8eeeadccee61ae72d4b844
37,PO-64.4,PO-64.4_Rotulo_provisorio_piezas_grandes_A(2).xls,Planilla Excel legado,CKD FIAT,CKD FIAT/En vigor/PO-64.4_Rotulo_provisorio_piezas_grandes_A(2).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1490f847627c59a9cd9b97df905c55d2ac24488aca700f8ff2229849cad7fc16
38,PO-64,PO-64_Identificacion_CKD_D.docx,Documento Word,CKD FIAT,CKD FIAT/En vigor/PO-64_Identificacion_CKD_D.docx,D,E,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,2f4ffe5b4c4571aaa81582803daca13a212a445bbc866e1bfe7a8ee1ca1c7a20
39,PO-90.1,PO-90.1_Control_de_Carga_Expedición_Única(3).xlsx,Planilla Excel,CKD FIAT,CKD FIAT/En vigor/PO-90.1_Control_de_Carga_Expedición_Única(3).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9f82551cd0ae8e0b0103debbebc53a7bdbc6b0c5db4c927e62a9be8e94e0cbe6
40,PO-90,PO-90_Expedición_Única_C.pdf,PDF / evidencia,CKD FIAT,CKD FIAT/En vigor/PO-90_Expedición_Única_C.pdf,C,D,Registro/evidencia — conservar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9abfa7220bbe25bee17ade4912c8923bf83599efbc214c0dc25d1995b74ee88a
41,POLITICA,Politica.Calidad (4).pdf,PDF / evidencia,CKD FIAT,CKD FIAT/Politica.Calidad (4).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2022-11-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
42,THUMBS,Thumbs.db,DB,CKD FIAT,CKD FIAT/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-04,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,089b2f9e85996f00a0d2c4e10e0bb313e03e6989d16d9cee420baa947a352a86
43,COPIA,Copia de F331 S1 2024  DADA SA DIVISIÓN LOGÍSTICA.XLSX,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/Copia de F331 S1 2024  DADA SA DIVISIÓN LOGÍSTICA.XLSX,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,08168eb549590719b27bc3868179966c08d9fe5dba79cd47543813056a99248a
44,FG-03,FG-03 Plan de accion 2025.xls,Planilla Excel legado,Calidad,Calidad/Auditorias internas 2025/FG-03 Plan de accion 2025.xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2026-01-08,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,42977db72f38e908283ca79b2043c0fddac3bf08f44beea3937c56cb93d2b3ab
45,FG-05,FG-05 Plan anual de Auditoria 2025 ISO.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-05 Plan anual de Auditoria 2025 ISO.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ae4a98725db1a3e842422161feeb169c284a1722acd0390b042f950a8f65be83
46,FG-09,FG-09 Informe de Auditoria Interna CKD.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna CKD.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,2fd60aafc00eb8e874fdcc00b663ddb3f61f01b788c25c347e1a9e76bdd49882
47,FG-09,FG-09 Informe de Auditoria Interna COMPRAS.xlsx,Planilla Excel,Calidad,Calidad/Auditorias internas 2025/FG-09 Informe de Auditoria Interna COMPRAS.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,15d497babe45b1d4602bca36a093a109a6c472c41788738aa131939c21bec689
